,model_name,provider,target_class_id,target_class_name,target_class_name_clean,calibration_method,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece,ood_accuracy,ood_precision,ood_recall,ood_f1,ood_brier_score,ood_sm_ece,ood_binned_ece
10,ViT-B-32-quickgelu,openai,3,bridge,bridge,isotonic,openai--ViT-B-32-quickgelu--03--bridge--isotonic,0.8897680032184525,0.8262218774243599,0.8506389776357828,0.8382526564344747,0.08340391650426206,0.010041467937981751,0.007906033526166856,0.9580552907530981,0.9202127659574468,0.9611111111111111,0.9402173913043478,0.043071901280978875,0.07889806441932488,0.08543407630967287
11,ViT-B-32-quickgelu,openai,3,bridge,bridge,sba,openai--ViT-B-32-quickgelu--03--bridge--sba,0.9053238567788655,0.8484496124031008,0.8742012779552716,0.8611329661683713,0.07387174324359541,0.028383206591573257,0.02916131092268886,0.9475691134413727,0.8765432098765432,0.9861111111111112,0.9281045751633987,0.04444012811050366,0.08547904572828069,0.09630560458329701
12,ViT-B-32-quickgelu,openai,4,church-outdoor,outdoor church,sigmoid,openai--ViT-B-32-quickgelu--04--church-outdoor--sigmoid,0.8224734042553191,0.7651654411764706,0.6689433507432704,0.7138263665594855,0.1265448284719873,0.0304676900829012,0.032200488266793635,0.8724637681159421,0.9523809523809523,0.6666666666666666,0.7843137254901961,0.09601454362247287,0.1131151038302157,0.1252898097942597
13,ViT-B-32-quickgelu,openai,4,church-outdoor,outdoor church,isotonic,openai--ViT-B-32-quickgelu--04--church-outdoor--isotonic,0.824468085106383,0.7302087435998424,0.7448774608276416,0.7374701670644391,0.1253820992644474,0.011296711950603602,0.007726222742039294,0.908695652173913,0.927536231884058,0.8,0.8590604026845637,0.08419361916159415,0.09055251795436632,0.09345991376692941
14,ViT-B-32-quickgelu,openai,4,church-outdoor,outdoor church,sba,openai--ViT-B-32-quickgelu--04--church-outdoor--sba,0.8690159574468085,0.8278116826503923,0.76295701084773,0.7940623039933097,0.10613137548655364,0.07810264908680532,0.0848079476647012,0.782608695652174,0.9591836734693877,0.39166666666666666,0.5562130177514792,0.13953862076542406,0.11113765844420125,0.12007016718684548
15,ViT-B-32-quickgelu,openai,5,desert-sand,sand desert,sigmoid,openai--ViT-B-32-quickgelu--05--desert-sand--sigmoid,0.9513434032883304,0.9414225941422594,0.9094583670169766,0.9251644736842105,0.03659981642932669,0.010796082604360593,0.008941466158395561,0.9419642857142857,0.8522727272727273,1.0,0.9202453987730062,0.043388494984777606,0.07684668269733788,0.07680106086607859
16,ViT-B-32-quickgelu,openai,5,desert-sand,sand desert,isotonic,openai--ViT-B-32-quickgelu--05--desert-sand--isotonic,0.9514770752573185,0.9237254114813328,0.9300727566693614,0.9268882175226586,0.03669731930304165,0.0077339260583465744,0.00645979369218819,0.9252232142857143,0.8174386920980926,1.0,0.8995502248875562,0.04551475672441302,0.07721792976602358,0.0777219148486178
17,ViT-B-32-quickgelu,openai,5,desert-sand,sand desert,sba,openai--ViT-B-32-quickgelu--05--desert-sand--sba,0.9607004411174976,0.9346092503987241,0.9474535165723524,0.9409875551987154,0.029064574023898837,0.018725681960979425,0.01821616480081522,0.9285714285714286,0.8241758241758241,1.0,0.9036144578313253,0.0567866361522957,0.093916113655944,0.09373418159832779
18,ViT-B-32-quickgelu,openai,6,farm,farm,sigmoid,openai--ViT-B-32-quickgelu--06--farm--sigmoid,0.8243064729194187,0.7691954022988505,0.6689324270291883,0.7155688622754491,0.12494180363170179,0.016454781215029513,0.017184239508100642,0.8865248226950354,0.7531380753138075,0.972972972972973,0.8490566037735849,0.09543195130285642,0.12261528684640303,0.1303868840862617
19,ViT-B-32-quickgelu,openai,6,farm,farm,isotonic,openai--ViT-B-32-quickgelu--06--farm--isotonic,0.8225891677675033,0.7762404580152672,0.6505397840863655,0.7078529475745051,0.12509426720814462,0.014356399194382793,0.013329329929724238,0.8945035460992907,0.7687366167023555,0.9702702702702702,0.8578255675029869,0.09917065697262016,0.12185552199782165,0.13927154084386845
20,ViT-B-32-quickgelu,openai,6,farm,farm,sba,openai--ViT-B-32-quickgelu--06--farm--sba,0.8402906208718626,0.7835820895522388,0.7137145141943223,0.7470182046453233,0.11467324814440903,0.04631400378615554,0.049660919525548616,0.8900709219858156,0.7673913043478261,0.9540540540540541,0.8506024096385543,0.09361969329273652,0.13310071061726578,0.14150878669964875
