,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
78,ViT-B-16-SigLIP,webli,sigmoid,6,farm,farm,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--06--farm--indomain,0.9631410256410257,0.9868766404199475,0.9016786570743405,0.9423558897243107,0.026202411403681684,0.035570786977927614,0.035789615207851566
79,ViT-B-16-SigLIP,webli,isotonic,6,farm,farm,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--06--farm--indomain,0.969017094017094,0.9838022165387894,0.9224620303756994,0.9521452145214522,0.024755949762202772,0.03447605212594257,0.03502609258714043
80,ViT-B-16-SigLIP,webli,siglip,6,farm,farm,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--06--farm--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
81,ViT-B-16-SigLIP,webli,sigmoid,7,forest-broadleaf,broadleaf forest,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--07--forest-broadleaf--indomain,0.9678151709401709,0.9845692241748821,0.9180655475619505,0.9501551189245088,0.023874972657145988,0.029388295567239903,0.029114066400727553
82,ViT-B-16-SigLIP,webli,isotonic,7,forest-broadleaf,broadleaf forest,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--07--forest-broadleaf--indomain,0.9667467948717948,0.9857697283311773,0.9136690647482014,0.9483509645301804,0.0251101183097694,0.029405627269280084,0.030165441090984964
83,ViT-B-16-SigLIP,webli,siglip,7,forest-broadleaf,broadleaf forest,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--07--forest-broadleaf--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
84,ViT-B-16-SigLIP,webli,sigmoid,8,industrial_area,industrial area,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--08--industrial_area--indomain,0.9711538461538461,0.9818718381112985,0.9308553157474021,0.9556832170701682,0.022095024562926717,0.030513886361138113,0.03053813037336302
85,ViT-B-16-SigLIP,webli,isotonic,8,industrial_area,industrial area,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--08--industrial_area--indomain,0.9751602564102564,0.9812967581047382,0.9436450839328537,0.9621026894865525,0.021796616197056463,0.029200632957069265,0.029289684296024937
86,ViT-B-16-SigLIP,webli,siglip,8,industrial_area,industrial area,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--08--industrial_area--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
87,ViT-B-16-SigLIP,webli,sigmoid,9,field-cultivated,cultivated field,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--09--field-cultivated--indomain,0.9668803418803419,0.9849397590361446,0.9148681055155875,0.9486116866970576,0.024639550075397997,0.03317201742961395,0.03326657123445761
88,ViT-B-16-SigLIP,webli,isotonic,9,field-cultivated,cultivated field,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--09--field-cultivated--indomain,0.969017094017094,0.9838022165387894,0.9224620303756994,0.9521452145214522,0.023609330483743043,0.03177225188231661,0.03234283251136093
89,ViT-B-16-SigLIP,webli,siglip,9,field-cultivated,cultivated field,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--09--field-cultivated--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
90,ViT-B-16-SigLIP,webli,sigmoid,10,residential_neighborhood,residential neighborhood,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--10--residential_neighborhood--indomain,0.9813034188034188,0.9686507936507937,0.9756195043964828,0.9721226602947033,0.01777119056484558,0.02119574603872521,0.02099127974696533
91,ViT-B-16-SigLIP,webli,isotonic,10,residential_neighborhood,residential neighborhood,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--10--residential_neighborhood--indomain,0.9807692307692307,0.9652722967640095,0.9776179056754596,0.971405877680699,0.017396498118603377,0.020551450991599968,0.020047728590694362
92,ViT-B-16-SigLIP,webli,siglip,10,residential_neighborhood,residential neighborhood,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--10--residential_neighborhood--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
93,ViT-B-16-SigLIP,webli,sigmoid,11,mountain,mountain,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--11--mountain--indomain,0.9674145299145299,0.9849656357388317,0.916466826538769,0.9494824016563147,0.02389237388996907,0.028492347890035807,0.028492844555602394
94,ViT-B-16-SigLIP,webli,isotonic,11,mountain,mountain,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--11--mountain--indomain,0.9728899572649573,0.9815668202764977,0.9364508393285371,0.9584782164041726,0.023115351348624587,0.028262471514241057,0.029136598395205077
