,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
38,ViT-B-32-quickgelu,openai,SBA,12,park,park,12,park,park,ood,eval--12--park--inclass--ood--SBA,0.8544061302681992,0.8639705882352942,0.6714285714285714,0.7556270096463023,0.15412618462188354,0.14882897897629024,0.2230602589532219
39,ViT-B-32-quickgelu,openai,sigmoid,13,parking_garage-outdoor,outdoor parking garage,13,parking_garage-outdoor,outdoor parking garage,ood,eval--13--parking_garage-outdoor--inclass--ood--sigmoid,0.9098862642169728,0.7910750507099391,1.0,0.883352208380521,0.06593600477526726,0.1125495969105382,0.1125932810979338
40,ViT-B-32-quickgelu,openai,isotonic,13,parking_garage-outdoor,outdoor parking garage,13,parking_garage-outdoor,outdoor parking garage,ood,eval--13--parking_garage-outdoor--inclass--ood--isotonic,0.9046369203849519,0.781563126252505,1.0,0.8773903262092239,0.06835879568424982,0.10659752634026332,0.10926635486578157
41,ViT-B-32-quickgelu,openai,SBA,13,parking_garage-outdoor,outdoor parking garage,13,parking_garage-outdoor,outdoor parking garage,ood,eval--13--parking_garage-outdoor--inclass--ood--SBA,0.8705161854768154,0.7257462686567164,0.9974358974358974,0.8401727861771058,0.1006252079586132,0.1611144916990746,0.16117264379886545
42,ViT-B-32-quickgelu,openai,sigmoid,14,playground,playground,14,playground,playground,ood,eval--14--playground--inclass--ood--sigmoid,0.7232375979112271,0.7280701754385965,0.22432432432432434,0.34297520661157027,0.17475318934546918,0.13452934193716315,0.13756509292150385
43,ViT-B-32-quickgelu,openai,isotonic,14,playground,playground,14,playground,playground,ood,eval--14--playground--inclass--ood--isotonic,0.7354221061792864,0.7538461538461538,0.2648648648648649,0.392,0.18353666213904576,0.14492315042365378,0.14966753980402614
44,ViT-B-32-quickgelu,openai,SBA,14,playground,playground,14,playground,playground,ood,eval--14--playground--inclass--ood--SBA,0.7293298520452568,0.8241758241758241,0.20270270270270271,0.32537960954446854,0.17781638473196104,0.14180416904625376,0.16054226541721478
45,ViT-B-32-quickgelu,openai,sigmoid,15,pond,pond,15,pond,pond,ood,eval--15--pond--inclass--ood--sigmoid,0.9177966101694915,0.8275862068965517,0.9714285714285714,0.8937568455640745,0.06451327693914151,0.08292783284056499,0.08746048221581663
46,ViT-B-32-quickgelu,openai,isotonic,15,pond,pond,15,pond,pond,ood,eval--15--pond--inclass--ood--isotonic,0.8932203389830509,0.7752808988764045,0.9857142857142858,0.8679245283018868,0.06764820941660774,0.08458647622692177,0.0924275329881111
47,ViT-B-32-quickgelu,openai,SBA,15,pond,pond,15,pond,pond,ood,eval--15--pond--inclass--ood--SBA,0.9161016949152543,0.8322981366459627,0.9571428571428572,0.8903654485049833,0.0681735532238324,0.07286739122188296,0.07364353220357354
48,ViT-B-32-quickgelu,openai,sigmoid,16,train_station-platform,platform train station,16,train_station-platform,platform train station,ood,eval--16--train_station-platform--inclass--ood--sigmoid,0.8853754940711462,0.9261083743842364,0.7230769230769231,0.8120950323974082,0.08391886689510566,0.07021398184476635,0.07104339723733281
49,ViT-B-32-quickgelu,openai,isotonic,16,train_station-platform,platform train station,16,train_station-platform,platform train station,ood,eval--16--train_station-platform--inclass--ood--isotonic,0.8866930171277997,0.9027777777777778,0.75,0.819327731092437,0.08207049562216134,0.0677103460112944,0.06913098734950743
50,ViT-B-32-quickgelu,openai,SBA,16,train_station-platform,platform train station,16,train_station-platform,platform train station,ood,eval--16--train_station-platform--inclass--ood--SBA,0.8840579710144928,0.93,0.7153846153846154,0.808695652173913,0.086864365304596,0.051519747215123646,0.0615747304675746
51,ViT-B-32-quickgelu,openai,sigmoid,17,river,river,17,river,river,ood,eval--17--river--inclass--ood--sigmoid,0.8680161943319838,0.7361376673040153,0.9390243902439024,0.8252947481243301,0.09479726229865013,0.10442524585812361,0.11079667697317507
52,ViT-B-32-quickgelu,openai,isotonic,17,river,river,17,river,river,ood,eval--17--river--inclass--ood--isotonic,0.8526315789473684,0.7014134275618374,0.9682926829268292,0.8135245901639344,0.10172033808346803,0.10614910907023688,0.1278827512195628
53,ViT-B-32-quickgelu,openai,SBA,17,river,river,17,river,river,ood,eval--17--river--inclass--ood--SBA,0.8599190283400809,0.7158469945355191,0.9585365853658536,0.8196037539103233,0.09916339869878109,0.13469744238643933,0.15748441520218665
54,ViT-B-32-quickgelu,openai,sigmoid,18,schoolhouse,schoolhouse,18,schoolhouse,schoolhouse,ood,eval--18--schoolhouse--inclass--ood--sigmoid,0.653179190751445,0.5,0.0033333333333333335,0.006622516556291391,0.33259048789309476,0.2722258611055762,0.3197405282187786
55,ViT-B-32-quickgelu,openai,isotonic,18,schoolhouse,schoolhouse,18,schoolhouse,schoolhouse,ood,eval--18--schoolhouse--inclass--ood--isotonic,0.653179190751445,0.5,0.0033333333333333335,0.006622516556291391,0.33492499296160433,0.24585339713470178,0.3236574744122006
56,ViT-B-32-quickgelu,openai,SBA,18,schoolhouse,schoolhouse,18,schoolhouse,schoolhouse,ood,eval--18--schoolhouse--inclass--ood--SBA,0.653179190751445,0.5,0.01,0.0196078431372549,0.3054479124752159,0.26987410295717906,0.2929083240766218
57,ViT-B-32-quickgelu,openai,sigmoid,19,viaduct,viaduct,19,viaduct,viaduct,ood,eval--19--viaduct--inclass--ood--sigmoid,0.7954186413902053,0.7992565055762082,0.5119047619047619,0.6240928882438317,0.12437485738958291,0.10777921632034379,0.12107794578034982
58,ViT-B-32-quickgelu,openai,isotonic,19,viaduct,viaduct,19,viaduct,viaduct,ood,eval--19--viaduct--inclass--ood--isotonic,0.8120063191153238,0.8033333333333333,0.5738095238095238,0.6694444444444444,0.11810029408239063,0.09829381229184243,0.10767306697699808
59,ViT-B-32-quickgelu,openai,SBA,19,viaduct,viaduct,19,viaduct,viaduct,ood,eval--19--viaduct--inclass--ood--SBA,0.9052132701421801,0.852112676056338,0.8642857142857143,0.8581560283687943,0.06961324513214447,0.05145333750223357,0.055512636630335385
